Master Filename,Level of Description,Title,Date,Scope and Contents,Creator,Associated Person (Machine Generated),Subject,Location,Format of Material,Language,Cybernetic Classification (Machine Generated),Classification Certainty (Machine Generated),Machine-extracted Feature (Machine Generated),Overall Sentiment (Machine Generated),Percent Positive Sentiment (Machine Generated),Percent Negative Sentiment (Machine Generated),Percent Neutral Sentiment (Machine Generated),Rights,Parent Collection,Repository,Collection Identifier
1106834_2_LogicoPhilosophicalCommentsSelfOrg_1960.pdf,File,"TR No. 5: Some Logico: Philosophical Comments on Self-Organizing Systems, A.A. Mullin, November 1960",1960,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","Mullin, A. A.",Wittgenstein||Wiener||Turing||Pask||McCulloch||Ashby,self-organizing systems,Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Math, 0.00%||Psychology, 0.00%||Machines, 0.00%",Wittgenstein||Wiener||Turing||Pask||McCulloch||Ashby||Biological||Society||Vision||Tool||Technology||Sun||Program||network||Network||Map||Machine||Hear||Hand||Function||Ear||Computer||Cat||Brain||Animal||State||variety||Open||Cybernetics||Communication||Automata||Allo||Adaptive||Variety||Value||Understanding||Theoretical||Systems||Synthesis||Structure||Space||Science||Representation||Process||Organization||Intelligent||Interdisciplinary||Nature||Identity||Human||Future||Experiment||Evolution||Error||Engineering||Domain||Design||Theory||Control||Concept||Auto||Art||System||Model||Mind||Meaning||Mathematics||Man||Law||Laboratory||Knowledge||Information,0.9975,7,2.6,90.4,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_PresentTheorySwitching_1960.pdf,File,"TR No. 3: The Present Theory of Switching and Some of Its Future Trends, A. A. Mullin, July 1960",1960,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","Mullin, A. A.",Wiener||Shannon||Pitts||McCulloch,switching circuits,Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Math, 0.00%||Psychology, 0.00%||Machines, 0.00%",Wiener||Shannon||Pitts||McCulloch||Biological||American||Vision||Tool||Technology||Sun||Signal||Program||Noise||network||Network||Machine||Hand||Game||Function||Earth||Ear||Computer||Component||Circuit||Cat||Brain||State||Open||Feedback||Cybernetics||Complexity||Communication||Automata||intelligence||Artificial||Allo||Adaptive||Value||Understanding||Truth||Time||Systems||Synthesis||Structure||Space||Science||Representation||Process||Physics||Organization||Organism||Order||System||Nervous||Model||Memory||Meaning||Mathematics||Man||Law||Laboratory||Design||Theory||Control||Concept||effect||Being||Auto||Art||Action||Nature||World||Methods||Human||Future||Information||Intelligence||Interdisciplinary||Flow||Experiment||Error||Environment||Engineering||Domain,0.9948,6.8,5,88.3,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_LinearPropertyFilters_1962.pdf,File,"TR No. 1 and 2: Linear Property Filters, Alfred Inselberg and Heinz von Foerster, July 1, 1962",1962,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz||Inselberg, Alfred",Pitts||McCulloch||Maturana||Lettvin,linear systems,Urbana (IL),Publication,eng,Personal,"Personal, 99.96%||Math, 0.04%||Psychology, 0.00%||Machines, 0.00%",Pitts||McCulloch||Maturana||Lettvin||Biological||Sun||Signal||network||Network||Map||Hand||Function||Frog||Eye||Ear||Computer||Code||Cat||Brain||Trivial||State||Stability||variety||Visual||Neural||Representation||Organization||Order||System||Model||Mathematics||Man||Laboratory||Information||Identity||Future||Experiment||Environment||Engineering||Doubt||Design||Description||Theory||Concept||effect||Cause||Art||Action||Distinction||Complexity||Variety||Value||Time||Systems||Synthesis||Structure||Space||Science,0.9992,8.3,3.8,87.9,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_SelfOrgEnvironments_1960.pdf,File,"Von Foerster, H. : ""On Self-Organizing Systems and Their Environments,"" in Self Organizing Systems, M.C. Yovits & S. Cameron (eds)., Pergamon Press, London, 31-50 (1960).",1960,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz",Wittgenstein||Shannon||Pask,self-organizing systems,Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Math, 0.00%||Psychology, 0.00%||Machines, 0.00%",Man||Learning||Law||Knowledge||Information||Nature||World||Imagination||Illusion||Hypothesis||Human||Flow||Experiment||Error||Environment||Engineering||Dream||Doubt||Theory||Concept||Cause||Auto||Art||Action||Model||Organism||Order||Observing||System||Wittgenstein||Shannon||Pask||Sun||Signal||Noise||network||Network||Hear||Hand||Game||Function||Eye||Ear||Component||Code||Cat||Animal||Trivial||State||Stability||Purpose||Disorder||Open||Visual||Entropy||Distinction||Communication||Allo||Value||Uncertainty||Understanding||Time||Systems||Structure||Space||Reality||Process||Paradox||Organization||Mind||Meaning||Mechanism,0.9999,16.3,7.6,76.1,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_RealizationOfBiologicalComputers2_1958.pdf,File,"The Realization of Biological Computers, Quarterly Progress Report No. 2",1958,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz",McCulloch||Lettvin,Biological Computer Laboratory (BCL),Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Psychology, 0.00%||Math, 0.00%||Machines, 0.00%",McCulloch||Lettvin||Biological||Vision||Technology||Sun||Signal||Program||Noise||network||Network||Hand||Function||Eye||Ear||Computer||Component||Circuit||Cat||State||Purpose||intelligence||Artificial||Allo||Value||Understanding||Theoretical||Time||Systems||Structure||Science||Representation||Process||Organization||Order||System||Model||Mind||Memory||Mechanism||Man||Law||Laboratory||Information||Intelligence||Nature||Methods||Human||Future||Experiment||Environment||Engineering||Design||Theory||Control||Behavior||Art||Action,0.9965,8.3,3.8,87.8,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_PredictiveModelSelfOrg_1960.pdf,File,"TR No. 4: A Predictive Model for Self Organizing Systems, Gordon Pask and Heinz von Foerster, June 1960",1960,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz||Pask, Gordon",Walter||Turing||Pitts||Pask||Mead||McCulloch||Lettvin||Ashby,self-organizing systems,Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Psychology, 0.00%||Math, 0.00%||Machines, 0.00%",Walter||Turing||Pitts||Pask||Mead||McCulloch||Lettvin||Ashby||Cat||Brain||Animal||Trivial||State||Stability||Requisite||Purpose||Open||Visual||Homeostasis||Feedback||Distinction||Cybernetics||Communication||Automaton||Automata||Artificial||Allo||Adaptation||Adaptive||Value||Uncertainty||Theoretical||Time||Thinking||Systems||Structure||Space||Scientific||Science||Reality||Process||Physics||Perception||Organization||Order||Observing||Observation||System||Nervous||Model||Mind||Memory||Meaning||Mechanism||Man||Learning||Law||Laboratory||Knowledge||Information||Interdisciplinary||Nature||World||Methods||Identity||Hypothesis||Human||Flow||Experimental||Experiment||Evolution||Error||Environment||Engineering||Dream||Doubt||Design||Description||Conversation||Control||Construction||Concept||effect||Cause||Biology||Behavior||Auto||Art||Anatomy||Action||Biological||Vision||Sun||Signal||Program||network||Network||Map||Machine||Hear||Hand||Game||Function||Frog||Eye||Ear||Computer||Component||Code||Circuit||Theory,1,16.9,3.6,79.6,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_SetTheoryofMechanismHomestasis_1962.pdf,File,"TR No. 7: The Set Theory of Mechanism and Homeostasis, W. Ross Ashby, September 1962",1962,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","Ashby, W. Ross (William Ross)",Wiener||Shannon||Ashby,homeostasis,Urbana (IL),Publication,eng,Personal,"Personal, 99.91%||Math, 0.09%||Psychology, 0.00%||Machines, 0.00%",Wiener||Shannon||Ashby||Biological||Society||Tool||Sun||Signal||Reflex||Noise||Map||Machine||Hand||Function||Eye||Earth||Ear||Computer||Component||Code||Cat||Brain||Algorithm||Ultrastability||Trivial||State||Stability||Purpose||Open||Feedback||Emergence||Distinction||Cybernetics||Complexity||Communication||Allo||Adaptive||Value||Time||Thinking||Systems||Structure||Space||Scientific||Science||Representation||Process||Physics||Organism||Order||System||Mind||Meaning||Mechanism||Mathematics||Man||Law||Laboratory||Knowledge||Information||Intelligent||Nature||World||Methods||Identity||Future||Experiment||Environment||Engineering||Doubt||Domain||Design||Description||Theory||Control||Construction||Concept||effect||Cause||Biology||Behavior||Auto||Art||Action||Goal||Homeostasis,0.9999,10.3,3.7,86,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_RealizationOfBiologicalComputers7_1959.pdf,File,"The Realization of Biological Computers, Quarterly Progress Report No. 7",1959,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz",Shannon||Pask||Mead||McCulloch,Biological Computer Laboratory (BCL),Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Math, 0.00%||Psychology, 0.00%||Machines, 0.00%",Algorithm||State||variety||Purpose||Neural||Automaton||Automata||Allo||Adaptation||Adaptive||Variety||Value||Understanding||Time||Systems||Synthesis||Structure||Space||Science||Representation||Organism||Order||Observation||System||Model||Mathematics||Manuscript||Man||Law||Laboratory||Information||Methods||Identity||Hypothesis||Flow||Experimental||Experiment||Error||Environment||Engineering||Description||Theory||Control||Construction||Concept||Behavior||Auto||Art||Action||Shannon||Pask||Mead||McCulloch||Biological||Society||American||Vision||Sun||Signal||Program||Noise||network||Network||Map||Machine||Hand||Function||Ear||Computer||Component||Circuit||Cat,0.9987,11.1,7.4,81.5,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_RealizationOfBiologicalComputers1_1958.pdf,File,"The Realization of Biological Computers, Quarterly Progress Report No. 1",1958,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz",Turing||McCulloch,Biological Computer Laboratory (BCL),Urbana (IL),Publication,eng,Personal,"Personal, 99.99%||Math, 0.01%||Psychology, 0.00%||Machines, 0.00%",Turing||McCulloch||Biological||Society||Vision||Technology||Reflex||Noise||network||Network||Machine||Function||Eye||Ear||Computer||Component||Circuit||Cat||Algorithm||State||Stability||Purpose||Cybernetics||Communication||intelligence||Artificial||Allo||Theoretical||Time||Systems||Structure||Science||Representation||Order||System||Model||Man||Learning||Laboratory||Knowledge||Information||Intelligent||Intelligence||World||Flow||Experimental||Experiment||Engineering||Design||Theory||Control||Concept||Cognition||Behavior||Art||Action,0.9926,9.4,3.1,87.5,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_ManuallyOperatedRobotNetwork_1963.pdf,File,"TR No. 8: Manually Operated Robot or Network, W. Ross Ashby and John K. Russell, July 1963",1963,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","Russell, John K.||Ashby, W. Ross (William Ross)",Ashby,analog machines,Urbana (IL),Publication,eng,Personal,"Personal, 99.99%||Math, 0.01%||Psychology, 0.00%||Machines, 0.00%",Understanding||Time||Systems||Science||Organism||System||Nervous||Model||Man||Laboratory||Information||Nature||World||Methods||Human||Experiment||Environment||Engineering||Design||Description||Theory||Control||Construction||effect||Behavior||Auto||Art||Action||Ashby||Biological||Sun||Signal||network||Network||Machine||Hand||Function||Eye||Ear||Computer||Component||Circuit||Cat||Brain||Ultrastability||State||Stability||variety||Purpose||Feedback||Cybernetics||Allo||Variety||Value,0.9835,9.8,7.6,82.6,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
